"Nom";"Licences - Entité";"Éditeur";"Versions - Nom";"Versions - Système d'exploitation";"Licences - Nombre d'installations";"Licences - Nombre de licences";
"Microsoft InfoPath MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Lync MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Messaging";"Root entity";"Microsoft Platform Extensions";"4.1901.10241.1000";"Windows";"1";"0";
"Microsoft Messaging";"Root entity";"Microsoft Corporation";"4.1901.10241.1000";"Windows";"1";"0";
"Microsoft News: les actualités à ne pas manquer";"Root entity";"Microsoft Platform Extensions";"4.44.22042.0
4.45.22053.0";"Windows";"1";"0";
"Microsoft News: les actualités à ne pas manquer";"Root entity";"Microsoft Corporation";"4.44.22042.0";"Windows";"1";"0";
"Microsoft Office 32-bit Components 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Korrekturhilfen 2013 - Deutsch";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office OSM MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office OSM UX MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Professional Plus 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Professional Plus 2016 - en-us";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Microsoft Office Professionnel Plus 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Professionnel Plus 2016 - fr-fr";"Root entity";"Microsoft Corporation";"16.0.13001.20384";"Windows";"1";"0";
"Microsoft Office Proofing (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Proofing Tools 2013 - ????? ???????";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Proofing Tools 2013 - English";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Proofing Tools 2013 - Español";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Proofing Tools 2013 - Nederlands";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Shared 32-bit MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
"Microsoft Office Shared MUI (French) 2013";"Root entity";"Microsoft Corporation";"15.0.4569.1506";"Windows";"1";"0";
